Country,Product,Balance,Unit,Year,Month,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,May,1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Jun,1652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Jul,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Aug,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Sep,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Oct,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Nov,1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Dec,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Jan,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Feb,1560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Mar,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Apr,1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,May,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Jun,1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Jul,1693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Aug,1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Sep,1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Oct,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Nov,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2007,Dec,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Jan,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Feb,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Mar,1681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Apr,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,May,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Jun,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Jul,1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Aug,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Sep,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Oct,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Nov,1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2008,Dec,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Jan,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Feb,1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Mar,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Apr,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,May,1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Jun,1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Jul,1438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Aug,1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Sep,1462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Oct,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Nov,1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2009,Dec,1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Jan,1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Feb,1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Mar,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Apr,1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,May,1387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Jun,1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Jul,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Aug,1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Sep,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Oct,1421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Nov,1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2010,Dec,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Jan,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Feb,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Mar,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Apr,1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,May,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Jun,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Jul,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Aug,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Sep,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Oct,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Nov,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2011,Dec,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Jan,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Feb,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Mar,1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Apr,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,May,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Jun,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Jul,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Aug,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Sep,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Oct,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Nov,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2012,Dec,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Jan,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Feb,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Mar,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Apr,1532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,May,1748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Jun,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Jul,1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Aug,1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Sep,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Oct,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Nov,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2013,Dec,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Jan,2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Feb,1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Mar,2074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2014,Apr,2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
