Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Feb,1386
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Mar,1410
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Apr,1442
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,May,1545
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Jun,1589
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Jul,1713
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Aug,1538
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Sep,1653
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Oct,1588
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Nov,1636
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Dec,1450
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Jan,1457
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Feb,1379
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Mar,1568
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Apr,1625
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,May,1643
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Jun,1692
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Jul,1796
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Aug,1840
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Sep,1785
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Oct,1669
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Nov,1593
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2012,Dec,1560
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Jan,1636
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Feb,1586
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Mar,1600
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Apr,1685
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,May,1691
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Jun,1901
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Jul,1920
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Aug,1672
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Sep,1759
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Oct,1777
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Nov,1619
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2013,Dec,1831
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Jan,1680
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Feb,1719
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Mar,1683
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Apr,1863
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,May,1832
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Jun,2012
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Jul,1847
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Aug,1968
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Sep,2052
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Oct,1799
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Nov,1860
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2014,Dec,2015
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2015,Jan,1867
