Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Mar,877
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Apr,825
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,May,827
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Jun,731
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Jul,707
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Aug,1023
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Sep,787
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Oct,909
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Nov,878
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Dec,1050
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Jan,798
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Feb,815
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Mar,838
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Apr,953
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,May,1318
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Jun,1008
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Jul,1075
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Aug,1347
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Sep,1190
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Oct,1093
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Nov,1182
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2015,Dec,1441
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Jan,1343
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Feb,1550
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Mar,1341
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Apr,1524
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,May,1361
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Jun,1371
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Jul,1367
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Aug,1370
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Sep,1349
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Oct,1443
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Nov,1226
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2016,Dec,1136
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Jan,1154
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Feb,1515
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Mar,1399
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Apr,1455
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,May,1279
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Jun,1362
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Jul,1441
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Aug,1448
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Sep,1550
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Oct,1598
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Nov,1569
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2017,Dec,1506
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Jan,1912
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Feb,2000
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Mar,1751
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Apr,1664
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,May,1886
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Jun,1999
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Jul,2084
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Aug,2138
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Sep,1976
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Oct,2069
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Nov,2059
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2018,Dec,2113
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Jan,1616
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Feb,1461
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Mar,1473
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Apr,1393
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,May,1260
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Jun,1277
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Jul,1220
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Aug,1336
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Sep,1401
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Oct,959
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Nov,1173
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2019,Dec,1051
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Jan,748
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Feb,550
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2020,Mar,795
